"company";"sector";"revenue_2021";"rev_change";"headquarter"
"Abbott Laboratories ";"Medical devices ";43075;"Increase 24.5% ";"Chicago, Illinois"
"AbbVie ";"Pharmaceutical industry ";56197;"Increase 22.7% ";"Lake Bluff, Illinois"
"AIG ";"Insurance ";52057;"Increase 19.0% ";"New York, New York"
"Albertsons ";"Retail ";69690;"Increase 11.6% ";"Boise, Idaho"
"Allstate ";"Insurance ";53228;"Increase 18.8% ";"Northfield Township, Illinois"
"Alphabet ";"Technology ";257637;"Increase 41.2% ";"Mountain View, California"
"Amazon ";"Retail and Cloud Computing ";469822;"Increase 21.7% ";"Seattle, Washington"
"American Express ";"Financial ";43663;"Increase 14.3% ";"New York, New York"
"AmerisourceBergen ";"Pharmaceutical industry ";213989;"Increase 12.7% ";"Chesterbrook, Pennsylvania"
"Apple ";"Electronics industry ";365817;"Increase 33.2% ";"Cupertino, California"
"Archer Daniels Midland ";"Food industry ";85959;"Increase 32.5% ";"Chicago, Illinois"
"AT&T ";"Conglomerate ";168864;"Decrease 1.7% ";"Dallas, Texas"
"Bank of America ";"Financials ";93851;"Increase 0.1% ";"Charlotte, North Carolina"
"Berkshire Hathaway ";"Conglomerate ";276094;"Increase 12.5% ";"Omaha, Nebraska"
"Best Buy ";"Retail ";51761;"Increase 9.5% ";"Richfield, Minnesota"
"Boeing ";"Aerospace and defense ";62286;"Increase 7.1% ";"Chicago, Illinois"
"Bristol-Myers Squibb ";"Pharmaceutical industry ";46385;"Increase 9.1% ";"New York, New York"
"Cardinal Health ";"Healthcare ";162467;"Increase 6.2% ";"Dublin, Ohio"
"Caterpillar ";"Machinery ";50971;"Increase 22.1% ";"Deerfield, Illinois"
"Centene ";"Healthcare ";125982;"Increase 13.4% ";"St. Louis, Missouri"
"Charter Communications ";"Telecommunications ";51682;"Increase 7.5% ";"Stamford, Connecticut"
"Chevron Corporation ";"Petroleum industry ";162465;"Increase 71.6% ";"San Ramon, California"
"CHS ";"Agriculture cooperative ";38448;"Increase 1.4% ";"Inver Grove Heights, Minnesota"
"Cigna ";"Health Insurance ";174078;"Increase 8.5% ";"Bloomfield, Connecticut"
"Cisco ";"Telecom Hardware Manufacturing ";49818;"Increase 1.0% ";"San Jose, California"
"Citigroup ";"Financials ";79865;"Decrease 10.1% ";"New York, New York"
"Coca-Cola Company ";"Beverages ";38655;"Increase 17.1% ";"Atlanta, Georgia"
"Comcast ";"Telecommunications ";116385;"Increase 12.4% ";"Philadelphia, Pennsylvania"
"ConocoPhillips ";"Petroleum industry ";48349;"Increase 151.1% ";"Houston, Texas"
"Costco ";"Retail ";195929;"Increase 17.5% ";"Issaquah, Washington"
"CVS Health ";"Healthcare ";292111;"Increase 32.0% ";"Woonsocket, Rhode Island"
"Dell Technologies ";"Technology ";106995;"Increase 13.6% ";"Round Rock, Texas"
"Dow Chemical Company ";"Chemical industry ";54968;"Increase 42.6% ";"Midland, Michigan"
"Elevance Health ";"Healthcare ";138639;"Increase 13.8% ";"Indianapolis, Indiana"
"Energy Transfer Partners ";"Petroleum industry ";67418;"Increase 73.1% ";"Dallas, Texas"
"Enterprise Products ";"Petroleum industry ";40807;"Increase 50.0% ";"Houston, Texas"
"Exxon Mobil ";"Petroleum industry ";285640;"Increase 57.4% ";"Irving, Texas"
"Fannie Mae ";"Financials ";101543;"Decrease 4.6% ";"Washington, D.C."
"FedEx ";"Transportation ";83959;"Increase 21.3% ";"Memphis, Tennessee"
"Ford Motor Company ";"Automotive industry ";136341;"Increase 7.2% ";"Dearborn, Michigan"
"Freddie Mac ";"Financials ";65898;"Decrease 0.5% ";"McLean, Virginia"
"General Dynamics ";"Airspace and defense ";38469;"Increase 8.7% ";"Reston, Virginia"
"General Electric ";"Conglomerate ";74196;"Decrease 6.8% ";"Boston, Massachusetts"
"General Motors ";"Automotive ";127004;"Increase 3.7% ";"Detroit, Michigan"
"Goldman Sachs ";"Financials ";64989;"Increase 2.7% ";"New York, New York"
"GSK plc ";"Pharmaceuticals ";44700;"Increase 3.0% ";"Philadelphia, Pennsylvania"
"HCA Healthcare ";"Healthcare ";58752;"Increase 14.0% ";"Nashville, Tennessee"
"HP ";"Technology ";63487;"Increase 12.1% ";"Palo Alto, California"
"Humana ";"Health Insurance ";83064;"Increase 7.7% ";"Louisville, Kentucky"
"IBM ";"Technology ";72344;"Decrease 1.7% ";"Armonk, New York"
"Intel ";"Technology ";79024;"Increase 1.5% ";"Santa Clara, California"
"John Deere ";"Agriculture manufacturing ";44024;"Increase 23.9% ";"Moline, Illinois"
"Johnson & Johnson ";"Pharmaceutical industry ";93775;"Increase 13.6% ";"New Brunswick, New Jersey"
"JPMorgan Chase ";"Financial services ";127202;"Decrease 1.8% ";"New York, New York"
"Kroger ";"Retail ";137888;"Increase 4.1% ";"Cincinnati, Ohio"
"Liberty Mutual Group ";"Insurance ";48200;"Increase 10.1% ";"Boston, Massachusetts"
"Lockheed Martin ";"Aerospace and Defense ";67044;"Increase 2.5% ";"Bethesda, Maryland"
"Lowe's ";"Retail ";96250;"Increase 7.4% ";"Mooresville, North Carolina"
"Marathon Petroleum ";"Petroleum industry ";141032;"Increase 58.5% ";"Findlay, Ohio"
"McKesson Corporation ";"Health ";238228;"Increase 3.1% ";"Irving, Texas"
"Merck & Co. ";"Pharmaceutical industry ";51216;"Increase 6.7% ";"Kenilworth, New Jersey"
"Meta Platforms ";"Technology ";117385;"Increase 37.2% ";"Menlo Park, California"
"MetLife ";"Financials ";71080;"Increase 4.8% ";"New York, New York"
"Microsoft ";"Technology ";198087;"Increase 17.5% ";"Redmond, Washington"
"Morgan Stanley ";"Financials ";61121;"Increase 17.4% ";"New York, New York"
"Nationwide Mutual Insurance Company ";"Financial ";47376;"Increase 13.0% ";"Columbus, Ohio"
"New York Life Insurance Company ";"Insurance ";51199;"Increase 9.6% ";"New York, New York"
"Nike ";"Apparel ";44538;"Increase 19.1% ";"Beaverton, Oregon"
"Northwestern Mutual ";"Insurance ";36751;"Increase 8.8% ";"Milwaukee, Wisconsin"
"Novartis ";"Pharmaceuticals ";51332;"Increase 6.0% ";"Cambridge, Massachusetts"
"Nucor ";"Metals ";36484;"Increase 81.2% ";"Charlotte, North Carolina"
"Oracle Corporation ";"Software ";40479;"Increase 3.6% ";"Austin, Texas"
"PepsiCo ";"Beverage ";79474;"Increase 12.9% ";"Purchase, New York"
"Pfizer ";"Pharmaceutical industry ";81288;"Increase 94.0% ";"New York, New York"
"Phillips 66 ";"Petroleum industry ";114852;"Increase 75.4% ";"Houston, Texas"
"Plains All American Pipeline ";"Petroleum industry ";42078;"Increase 80.7% ";"Houston, Texas"
"Procter & Gamble ";"Consumer products Manufacturing ";76118;"Increase 7.3% ";"Cincinnati, Ohio"
"Progressive Corporation ";"Insurance ";47702;"Increase 11.8% ";"Mayfield Village, Ohio"
"Prudential Financial ";"Financials ";70934;"Increase 24.4% ";"Newark, New Jersey"
"Publix ";"Retail ";48394;"Increase 7.1% ";"Lakeland, Florida"
"Raytheon Technologies ";"Conglomerate ";64388;"Increase 13.8% ";"Waltham, Massachusetts"
"State Farm ";"Financials ";82407;"Increase 4.2% ";"Bloomington, Illinois"
"StoneX Group ";"Financials ";42534;"Decrease 21.4% ";"New York, New York"
"Sysco ";"Food Service ";51298;"Decrease 3.0% ";"Houston, Texas"
"Target Corporation ";"Retail ";106005;"Increase 13.3% ";"Minneapolis, Minnesota"
"Tesla ";"Automotive and Energy ";53823;"Increase 70.7% ";"Austin, Texas"
"The Home Depot ";"Retail ";151157;"Increase 14.4% ";"Atlanta, Georgia"
"Thermo Fisher Scientific ";"Laboratory instruments ";39211;"Increase 21.7% ";"Waltham, Massachusetts"
"The Walt Disney Company ";"Media ";67418;"Increase 3.1% ";"Burbank, California"
"TIAA ";"Insurance ";40526;"Decrease 2.6% ";"New York, New York"
"TJX ";"Retail ";48550;"Increase 51.1% ";"Framingham, Massachusetts"
"Tyson Foods ";"Food Processing ";47049;"Increase 8.9% ";"Springdale, Arkansas"
"UnitedHealth Group ";"Healthcare ";287597;"Increase 11.8% ";"Minnetonka, Minnesota"
